ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
159;Organic;4;Plant based ;Rice;;;;;dry basis;;81.33;16.29;2.38;100;0;81.33;16.29;2.38;;dry ash free basis;45.25;7.09;1.27;1.10;45.30;;100;45.25;7.09;1.27;1.10;45.30;;17.65;;;17.65;17.22993;17.22993;14
160;Organic;4;Plant based ;Flour;;;;;;;;;;;;;;;;dry ash free basis;42.78;6.19;2.48;0.15;48.39;;99.99;42.78427843;6.190619062;2.480248025;0.150015002;48.39483948;;;18.157;;;18.157;;31
161;Organic;4;Plant based ;Flour;;;;;dry basis;;8.79;90.59;0.62;100;0;8.79;90.59;0.62;;dry ash free basis;43.47;6.74;2.93;0.1;46.76;;100;43.47;6.74;2.93;0.1;46.76;;;;;;;;31
162;Organic;4;Plant based ;Chestnut shell;;;;;dry basis;;73.99;23.22;2.79;100;0;73.99;23.22;2.79;;;;;;;;;;;;;;;;;;;;;;31
163;Organic;4;Plant based ;Peanut shell;;;;;dry basis;;73.88;24.31;1.82;100.01;0;73.87261274;24.30756924;1.819818018;;;;;;;;;;;;;;;;;;;;;;31
164;Organic;4;Plant based ;Peanut shell;;;;;dry basis;;74.34;23.57;2.1;100.01;0;74.33256674;23.56764324;2.099790021;;dry ash free basis;51.98;6.88;0.83;0.21;40.1;;100;51.98;6.88;0.83;0.21;40.1;;;;;;;;31
165;Organic;4;Plant based ;Peanut shell;;;;;;;;;;;;;;;;dry ash free basis;53.6;6.7;1.2;0.2;38.3;;100;53.6;6.7;1.2;0.2;38.3;;;20.589;;;20.589;;31
166;Organic;4;Plant based ;Walnut shell;;;;;dry basis;;74.73;23.81;1.45;99.99;0;74.73747375;23.81238124;1.450145015;;dry ash free basis;52.55;6.42;1.55;;39.48;;100;52.55;6.42;1.55;0;39.48;;;;;;;;31
167;Organic;4;Plant based ;Orange peel;;;;;dry basis;;76.27;21.29;2.44;100;0;76.27;21.29;2.44;;dry ash free basis;43.93;5.64;1.34;0.07;48.93;0.08;99.99;43.93439344;5.640564056;1.340134013;0.070007001;48.93489349;0.080008001;;18.097;;18.5496105;18.097;18.097;31
168;Organic;4;Plant based ;Orange peel;;;;;dry basis;;82.51;14.73;2.76;100;0;82.51;14.73;2.76;;dry ash free basis;52.94;7.42;1.38;0.08;38.19;;100.01;52.93470653;7.419258074;1.379862014;0.079992001;38.18618138;;;18.231;;18.74845742;18.231;18.231;31
